id,simulation_id,time,modulu
382,2,7.776822e-05,1238620.0
383,2,9.332187e-05,1211184.0
384,2,0.0001119862,1182727.0
385,2,0.0001343835,1153231.0
386,2,0.0001612602,1122686.0
387,2,0.0001935122,1091094.0
388,2,0.0002322147,1058465.0
389,2,0.0002786576,1024830.0
390,2,0.0003343891,990232.1
391,2,0.000401267,954737.3
392,2,0.0004815203,918431.6
393,2,0.0005778244,881423.5
394,2,0.0006933893,843843.6
395,2,0.0008320672,805843.4
396,2,0.0009984806,767592.7
397,2,0.001198177,729275.3
398,2,0.001437812,691083.4
399,2,0.001725374,653211.6
400,2,0.002070449,615849.3
401,2,0.002484539,579174.0
402,2,0.002981447,543345.4
403,2,0.003577736,508500.2
404,2,0.004293284,474750.0
405,2,0.005151941,442180.4
406,2,0.006182329,410852.3
407,2,0.007418794,380805.7
408,2,0.008902553,352063.1
409,2,0.01068306,324634.8
410,2,0.01281968,298523.5
411,2,0.01538361,273728.0
412,2,0.01846033,250247.1
413,2,0.0221524,228081.6
414,2,0.02658288,207235.9
415,2,0.03189946,187718.9
416,2,0.03827935,169543.2
417,2,0.04593522,152724.0
418,2,0.05512226,137277.0
419,2,0.06614672,123214.5
420,2,0.07937606,110541.4
421,2,0.09525127,99249.6
422,2,0.1143015,89311.68
423,2,0.1371618,80674.75
424,2,0.1645942,73255.04
425,2,0.197513,66934.8
426,2,0.2370156,61563.03
427,2,0.2844188,56961.51
428,2,0.3413025,52936.49
429,2,0.409563,49295.32
430,2,0.4914756,45864.91
431,2,0.5897708,42507.74
432,2,0.7077249,39131.21
433,2,0.8492699,35688.22
434,2,1.019124,32170.2
435,2,1.222949,28596.82
436,2,1.467538,25006.57
437,2,1.761046,21450.43
438,2,2.113255,17988.46
439,2,2.535906,14687.31
440,2,3.043088,11617.26
441,2,3.651705,8847.506
442,2,4.382046,6439.548
443,2,5.258455,4438.809
444,2,6.310146,2865.955
445,2,7.572176,1710.288
446,2,9.086611,928.2459
447,2,10.90393,449.3724
448,2,13.08472,189.5545
449,2,15.70166,67.73706
450,2,18.842,19.82475
451,2,22.6104,4.563163
452,2,27.13247,0.7868137
453,2,32.55897,0.09586997
454,2,39.07076,0.007696674
455,2,46.88492,0.0003743509
456,2,56.2619,9.974362e-06
457,2,67.51428,1.290248e-07
458,2,81.01714,7.010122e-10
459,2,97.22056,1.344498e-12
460,2,116.6647,7.389515e-16
461,2,139.9976,9.062267e-20
462,2,167.9971,1.836747e-24
463,2,201.5966,4.291586e-30
464,2,241.9159,7.502932e-37
465,2,290.299,5.843116e-45
466,2,348.3589,1.087861e-54
467,2,418.0306,2.294475e-66
468,2,501.6367,2.237578e-80
469,2,601.9641,3.442137e-97
470,2,722.3569,2.298272e-117
471,2,866.8283,1.41574e-141
472,2,1040.194,1.254756e-170
473,2,1248.233,1.720733e-205
474,2,1497.879,2.513906e-247
475,2,1797.455,1.577432e-297
476,2,2156.946,0.0
477,2,2588.335,0.0
478,2,3106.003,0.0
479,2,3727.203,0.0
480,2,4472.644,0.0
481,2,5367.172,0.0
482,2,6440.607,0.0
483,2,7728.728,0.0
484,2,9274.474,0.0
485,2,11129.37,0.0
486,2,13355.24,0.0
487,2,16026.29,0.0
488,2,19231.55,0.0
489,2,23077.86,0.0
490,2,27693.43,0.0
491,2,33232.12,0.0
492,2,39878.54,0.0
493,2,47854.25,0.0
494,2,57425.1,0.0
495,2,68910.12,0.0
496,2,82692.14,0.0
497,2,99230.57,0.0
498,2,119076.7,0.0
499,2,142892.0,0.0
500,2,171470.4,0.0
501,2,205764.5,0.0
502,2,246917.4,0.0
503,2,296300.9,0.0
504,2,355561.1,0.0
505,2,426673.3,0.0
506,2,512007.9,0.0
507,2,614409.5,0.0
508,2,737291.4,0.0
509,2,884749.7,0.0
510,2,1061700.0,0.0
511,2,1274040.0,0.0
512,2,1528848.0,0.0
513,2,1834617.0,0.0
514,2,2201540.0,0.0
515,2,2641849.0,0.0
516,2,3170218.0,0.0
517,2,3804262.0,0.0
518,2,4565114.0,0.0
519,2,5478137.0,0.0
520,2,6573764.0,0.0
521,2,7888517.0,0.0
522,2,9466221.0,0.0
523,2,11359460.0,0.0
524,2,13631360.0,0.0
525,2,16357630.0,0.0
526,2,19629160.0,0.0
527,2,23554990.0,0.0
528,2,28265980.0,0.0
529,2,33919180.0,0.0
530,2,40703020.0,0.0
531,2,48843620.0,0.0
532,2,58612340.0,0.0
533,2,70334810.0,0.0
534,2,84401780.0,0.0
535,2,101282100.0,0.0
536,2,121538600.0,0.0
537,2,145846300.0,0.0
538,2,175015500.0,0.0
539,2,210018600.0,0.0
540,2,252022400.0,0.0
541,2,302426800.0,0.0
542,2,362912200.0,0.0
543,2,435494600.0,0.0
544,2,522593500.0,0.0
545,2,627112300.0,0.0
546,2,752534700.0,0.0
547,2,903041700.0,0.0
548,2,1083650000.0,0.0
549,2,1300380000.0,0.0
550,2,1560456000.0,0.0
551,2,1872547000.0,0.0
552,2,2247057000.0,0.0
553,2,2696468000.0,0.0
554,2,3235762000.0,0.0
555,2,3882914000.0,0.0
556,2,4659497000.0,0.0
557,2,5591396000.0,0.0
558,2,6709675000.0,0.0
559,2,8051610000.0,0.0
560,2,9661932000.0,0.0
561,2,11594320000.0,0.0
562,2,13913180000.0,0.0
563,2,16695820000.0,0.0
564,2,20034980000.0,0.0
565,2,24041980000.0,0.0
566,2,28850370000.0,0.0
567,2,34620450000.0,0.0
568,2,41544540000.0,0.0
569,2,49853450000.0,0.0
570,2,59824140000.0,0.0
571,2,71788960000.0,0.0
572,2,86146760000.0,0.0
573,2,103376100000.0,0.0
574,2,124051300000.0,0.0
575,2,148861600000.0,0.0
576,2,178633900000.0,0.0
577,2,214360700000.0,0.0
578,2,257232800000.0,0.0
579,2,308679400000.0,0.0
580,2,370415300000.0,0.0
581,2,444498300000.0,0.0
582,2,533398000000.0,0.0
583,2,640077600000.0,0.0
584,2,768093100000.0,0.0
585,2,921711800000.0,0.0
586,2,1106054000000.0,0.0
587,2,1327265000000.0,0.0
588,2,1592718000000.0,0.0
589,2,1911262000000.0,0.0
590,2,2293514000000.0,0.0
591,2,2752217000000.0,0.0
592,2,3302660000000.0,0.0
593,2,3963192000000.0,0.0
594,2,4755830000000.0,0.0
595,2,5706996000000.0,0.0
596,2,6848396000000.0,0.0
597,2,8218075000000.0,0.0
598,2,9861690000000.0,0.0
599,2,11834030000000.0,0.0
600,2,14200830000000.0,0.0
