id,simulation_id,frequency,G_prime,G_double_prime
203,2,10152560.0,3445719.0,2837404.0
204,2,9229600.0,3301684.0,2682701.0
205,2,8390545.0,3166634.0,2534952.0
206,2,7627768.0,3040384.0,2392133.0
207,2,6934335.0,2922758.0,2255367.0
208,2,6303941.0,2813542.0,2124076.0
209,2,5730855.0,2712491.0,1998412.0
210,2,5209868.0,2619323.0,1879027.0
211,2,4736244.0,2533693.0,1764663.0
212,2,4305676.0,2455226.0,1656312.0
213,2,3914251.0,2383493.0,1553627.0
214,2,3558410.0,2318031.0,1456928.0
215,2,3234918.0,2258347.0,1365991.0
216,2,2940835.0,2203930.0,1280841.0
217,2,2673486.0,2154269.0,1201078.0
218,2,2430442.0,2108858.0,1126593.0
219,2,2209493.0,2067218.0,1057656.0
220,2,2008630.0,2028892.0,993593.6
221,2,1826027.0,1993461.0,934065.2
222,2,1660025.0,1960550.0,879283.4
223,2,1509113.0,1929819.0,828810.5
224,2,1371921.0,1900971.0,782218.6
225,2,1247201.0,1873748.0,739358.5
226,2,1133819.0,1847927.0,699968.2
227,2,1030745.0,1823318.0,663750.2
228,2,937040.6,1799757.0,630450.9
229,2,851855.1,1777107.0,599846.9
230,2,774413.8,1755250.0,571722.2
231,2,704012.5,1734088.0,545882.0
232,2,640011.4,1713537.0,522145.6
233,2,581828.5,1693526.0,500346.0
234,2,528935.0,1673994.0,480329.9
235,2,480850.0,1654890.0,461956.8
236,2,437136.4,1636168.0,445098.2
237,2,397396.7,1617789.0,429637.2
238,2,361269.7,1599719.0,415467.1
239,2,328427.0,1581925.0,402490.5
240,2,298570.0,1564380.0,390618.8
241,2,271427.3,1547056.0,379770.7
242,2,246752.1,1529930.0,369871.8
243,2,224320.1,1512979.0,360854.0
244,2,203927.3,1496180.0,352654.4
245,2,185388.5,1479516.0,345215.5
246,2,168535.0,1462965.0,338483.9
247,2,153213.6,1446512.0,332410.7
248,2,139285.1,1430138.0,326950.6
249,2,126622.8,1413829.0,322061.9
250,2,115111.7,1397570.0,317706.1
251,2,104647.0,1381345.0,313847.6
252,2,95133.61,1365142.0,310453.7
253,2,86485.1,1348948.0,307493.7
254,2,78622.82,1332749.0,304939.2
255,2,71475.29,1316534.0,302763.7
256,2,64977.54,1300291.0,300942.1
257,2,59070.49,1284010.0,299451.2
258,2,53700.44,1267680.0,298269.0
259,2,48818.59,1251292.0,297375.2
260,2,44380.53,1234837.0,296750.6
261,2,40345.94,1218308.0,296377.9
262,2,36678.13,1201696.0,296240.9
263,2,33343.75,1184994.0,296325.0
264,2,30312.5,1168195.0,296616.6
265,2,27556.82,1151291.0,297103.4
266,2,25051.65,1134275.0,297773.9
267,2,22774.23,1117138.0,298617.1
268,2,20703.85,1099873.0,299622.8
269,2,18821.68,1082470.0,300780.9
270,2,17110.62,1064922.0,302081.4
271,2,15555.11,1047218.0,303514.2
272,2,14141.01,1029349.0,305068.7
273,2,12855.46,1011304.0,306733.6
274,2,11686.78,993073.7,308496.9
275,2,10624.35,974647.4,310345.0
276,2,9658.497,956014.8,312263.4
277,2,8780.452,937166.4,314235.8
278,2,7982.229,918093.2,316244.3
279,2,7256.572,898787.3,318269.2
280,2,6596.883,879242.0,320289.2
281,2,5997.167,859452.7,322281.2
282,2,5451.97,839416.4,324220.3
283,2,4956.336,819133.0,326080.7
284,2,4505.76,798604.4,327835.1
285,2,4096.145,777835.8,329455.7
286,2,3723.769,756834.6,330914.0
287,2,3385.244,735611.4,332181.3
288,2,3077.495,714179.4,333228.8
289,2,2797.722,692554.5,334027.7
290,2,2543.384,670755.4,334549.0
291,2,2312.167,648804.2,334764.0
292,2,2101.97,626725.9,334644.6
293,2,1910.882,604549.6,334163.1
294,2,1737.166,582308.1,333293.3
295,2,1579.241,560037.9,332011.5
296,2,1435.674,537717.6,327518.0
297,2,1305.158,515525.1,325604.6
298,2,1186.507,493432.0,323205.1
299,2,1078.643,471486.0,320313.6
300,2,980.5847,449735.3,316928.4
301,2,891.4406,428227.8,313052.8
302,2,810.4005,407010.1,308693.7
303,2,736.7278,386127.6,303861.6
304,2,669.7525,365623.5,298569.8
305,2,608.8659,345539.7,292834.3
306,2,553.5145,325916.5,286673.1
307,2,503.195,306793.0,280106.5
308,2,457.45,288207.2,273157.6
309,2,415.8636,270195.9,265852.4
310,2,378.0578,252794.0,258220.4
311,2,343.6889,236034.3,250294.8
312,2,312.4445,219945.9,242112.9
313,2,284.0404,204554.1,233715.3
314,2,258.2186,189878.5,225146.1
315,2,234.7442,175933.1,216451.1
316,2,213.4038,162725.1,207677.2
317,2,194.0034,150255.3,198871.4
318,2,176.3668,138518.2,190078.8
319,2,160.3334,127502.4,181342.6
320,2,145.7577,117191.5,172702.6
321,2,132.507,107564.8,164194.8
322,2,120.4609,98598.34,155851.4
323,2,109.5099,90265.36,147700.4
324,2,99.55444,82537.44,139765.5
325,2,90.50404,75384.86,132067.0
326,2,82.2764,68777.16,124621.1
327,2,74.79673,62683.5,117440.9
328,2,67.99702,57073.03,110536.2
329,2,61.81548,51915.16,103913.7
330,2,56.19589,47179.8,97577.68
331,2,51.08717,42837.64,91529.54
332,2,46.44288,38860.36,85768.57
333,2,42.2208,35220.8,80291.94
334,2,38.38255,31893.14,75095.06
335,2,34.89323,28853.05,70171.78
336,2,31.72111,26077.72,65514.74
337,2,28.83738,23545.94,61115.62
338,2,26.2158,21238.09,56965.39
339,2,23.83254,19136.05,53054.58
340,2,21.66595,17223.17,49373.48
341,2,19.69632,15484.09,45912.29
342,2,17.90574,13904.65,42661.28
343,2,16.27795,12471.77,39610.85
344,2,14.79813,11173.3,36751.57
345,2,13.45285,9997.937,34074.2
346,2,12.22986,8935.182,31569.71
347,2,11.11806,7975.249,29229.25
348,2,10.10732,7109.05,27044.16
349,2,9.188477,6328.17,25005.98
350,2,8.353161,5624.853,23106.46
351,2,7.593782,4991.977,21337.58
352,2,6.903439,4423.043,19691.57
