id,simulation_id,time,G_t
610,3,1.547934e-10,61886760.0
611,3,1.857521e-10,57872660.0
612,3,2.229025e-10,53792800.0
613,3,2.67483e-10,49732870.0
614,3,3.209796e-10,45776010.0
615,3,3.851755e-10,41993340.0
616,3,4.622106e-10,38436360.0
617,3,5.546528e-10,35133860.0
618,3,6.655833e-10,32092750.0
619,3,7.987e-10,29304420.0
620,3,9.5844e-10,26758970.0
621,3,1.150128e-09,24435320.0
622,3,1.380154e-09,22314090.0
623,3,1.656184e-09,20377730.0
624,3,1.987421e-09,18610180.0
625,3,2.384905e-09,16996750.0
626,3,2.861886e-09,15524080.0
627,3,3.434264e-09,14180000.0
628,3,4.121117e-09,12953370.0
629,3,4.94534e-09,11834050.0
630,3,5.934408e-09,10812890.0
631,3,7.121289e-09,9881422.0
632,3,8.545547e-09,9032050.0
633,3,1.025466e-08,8257852.0
634,3,1.230559e-08,7552520.0
635,3,1.476671e-08,6910383.0
636,3,1.772005e-08,6326289.0
637,3,2.126406e-08,5795604.0
638,3,2.551687e-08,5314179.0
639,3,3.062024e-08,4878264.0
640,3,3.674429e-08,4484544.0
641,3,4.409315e-08,4130023.0
642,3,5.291178e-08,3812067.0
643,3,6.349413e-08,3528317.0
644,3,7.619296e-08,3276613.0
645,3,9.143155e-08,3055006.0
646,3,1.097179e-07,2861650.0
647,3,1.316614e-07,2694718.0
648,3,1.579937e-07,2552346.0
649,3,1.895925e-07,2432547.0
650,3,2.27511e-07,2333126.0
651,3,2.730131e-07,2251653.0
652,3,3.276158e-07,2185468.0
653,3,3.931389e-07,2131747.0
654,3,4.717667e-07,2087646.0
655,3,5.661201e-07,2050491.0
656,3,6.793441e-07,2017985.0
657,3,8.152129e-07,1988372.0
658,3,9.782555e-07,1960494.0
659,3,1.173907e-06,1933737.0
660,3,1.408688e-06,1907870.0
661,3,1.690425e-06,1882863.0
662,3,2.028511e-06,1858739.0
663,3,2.434213e-06,1835493.0
664,3,2.921055e-06,1813075.0
665,3,3.505266e-06,1791403.0
666,3,4.206319e-06,1770381.0
667,3,5.047583e-06,1749912.0
668,3,6.0571e-06,1729905.0
669,3,7.26852e-06,1710272.0
670,3,8.722224e-06,1690932.0
671,3,1.046667e-05,1671809.0
672,3,1.256e-05,1652832.0
673,3,1.5072e-05,1633935.0
674,3,1.80864e-05,1615055.0
675,3,2.170368e-05,1596134.0
676,3,2.604442e-05,1577119.0
677,3,3.125331e-05,1557959.0
678,3,3.750397e-05,1538609.0
679,3,4.500476e-05,1519025.0
680,3,5.400571e-05,1499168.0
681,3,6.480685e-05,1478999.0
682,3,7.776822e-05,1447632.0
683,3,9.332187e-05,1428675.0
684,3,0.0001119862,1409063.0
685,3,0.0001343835,1388784.0
686,3,0.0001612602,1367826.0
687,3,0.0001935122,1346178.0
688,3,0.0002322147,1323832.0
689,3,0.0002786576,1300782.0
690,3,0.0003343891,1277025.0
691,3,0.000401267,1252566.0
692,3,0.0004815203,1227413.0
693,3,0.0005778244,1201581.0
694,3,0.0006933893,1175093.0
695,3,0.0008320672,1147979.0
696,3,0.0009984806,1120276.0
697,3,0.001198177,1092028.0
698,3,0.001437812,1063285.0
699,3,0.001725374,1034104.0
700,3,0.002070449,1004550.0
701,3,0.002484539,974691.4
702,3,0.002981447,944600.9
703,3,0.003577736,914355.0
704,3,0.004293284,884031.8
705,3,0.005151941,853710.1
706,3,0.006182329,823468.1
707,3,0.007418794,793382.7
708,3,0.008902553,763528.7
709,3,0.01068306,733978.3
710,3,0.01281968,704801.0
711,3,0.01538361,676063.5
712,3,0.01846033,647830.6
713,3,0.0221524,620164.6
714,3,0.02658288,593125.9
715,3,0.03189946,566772.9
716,3,0.03827935,541161.6
717,3,0.04593522,516345.1
718,3,0.05512226,492372.3
719,3,0.06614672,469286.2
720,3,0.07937606,447119.8
721,3,0.09525127,425890.1
722,3,0.1143015,405593.2
723,3,0.1371618,386200.0
724,3,0.1645942,367657.8
725,3,0.197513,349896.9
726,3,0.2370156,332840.5
727,3,0.2844188,316413.5
728,3,0.3413025,300548.9
729,3,0.409563,285189.7
730,3,0.4914756,270289.4
731,3,0.5897708,255812.1
732,3,0.7077249,241733.1
733,3,0.8492699,228038.5
734,3,1.019124,214724.4
735,3,1.222949,201795.6
736,3,1.467538,189263.5
737,3,1.761046,177144.4
